CustomerID,TotalValue,Quantity,DaysSinceSignup,Cluster
C0001,3354.5200000000004,12,932,2
C0002,1862.74,10,1079,3
C0003,2725.38,14,326,1
C0004,5354.88,23,841,0
C0005,2034.24,7,896,3
C0006,4227.57,12,386,4
C0007,2579.8199999999997,8,954,3
C0008,4271.61,20,380,4
C0009,896.5,3,532,3
C0010,1717.5500000000002,12,774,3
C0011,3730.0,13,777,2
C0012,5231.259999999999,19,173,4
C0013,6000.56,18,253,4
C0014,318.66,2,219,1
C0015,1157.48,4,434,1
C0016,3874.42,10,390,1
C0017,4753.82,21,419,4
C0018,4781.85,18,128,4
C0019,2185.8199999999997,11,746,3
C0020,922.41,3,230,1
C0021,5419.92,17,651,4
C0022,4655.07,15,458,4
C0023,5158.65,14,1060,2
C0024,3627.02,14,357,4
C0025,1589.81,8,938,3
C0026,3549.05,12,269,1
C0027,2562.94,12,810,2
C0028,6819.57,24,212,4
C0029,1785.8700000000001,10,1017,3
C0030,2549.6800000000003,13,363,1
C0031,2005.38,10,291,1
C0032,673.0,5,285,1
C0033,132.64,2,176,1
C0034,3073.2000000000003,17,488,4
C0035,2587.61,10,118,1
C0036,1877.96,8,205,1
C0037,4252.77,14,723,2
C0038,2696.85,13,1017,2
C0039,4239.6,18,106,4
C0040,3969.3999999999996,10,1057,2
C0041,6149.78,23,397,4
C0042,2402.49,6,684,3
C0043,1131.3200000000002,6,722,3
C0044,3230.1099999999997,7,201,1
C0045,6021.8,23,1067,0
C0046,5627.83,19,96,4
C0047,2870.54,13,311,1
C0048,3850.9399999999996,12,81,1
C0049,2315.48,17,131,1
C0050,3068.83,8,331,1
C0051,5699.57,16,403,4
C0052,2488.01,10,342,1
C0053,5316.46,18,954,0
C0054,8040.389999999999,24,120,4
C0055,2857.6800000000003,12,77,1
C0056,3182.94,12,290,1
C0057,4536.4,16,184,4
C0058,396.34,1,365,1
C0059,7073.28,21,295,4
C0060,82.36,2,1011,3
C0061,2138.26,6,693,3
C0062,1639.54,8,775,3
C0063,1378.1699999999998,5,357,1
C0064,4039.77,13,463,4
C0065,7663.7,27,201,4
C0066,3799.2799999999997,9,73,1
C0067,4090.84,14,571,2
C0068,5950.42,22,664,0
C0069,2878.69,10,421,1
C0070,3125.49,12,1049,2
C0071,1400.83,7,941,3
C0072,2999.59,13,187,1
C0073,2060.54,10,891,3
C0074,3055.2200000000003,8,976,2
C0075,5848.97,28,637,0
C0076,2333.06,11,351,1
C0077,837.3,7,467,1
C0078,995.52,2,75,1
C0079,4251.5599999999995,12,1090,2
C0080,1007.52,3,355,1
C0081,3542.48,14,338,4
C0082,7572.91,23,990,0
C0083,642.8,4,1026,3
C0084,4441.1,20,132,4
C0085,2598.33,7,127,1
C0086,2754.68,13,862,2
C0087,6604.23,22,291,4
C0088,2135.38,10,624,3
C0089,2556.2200000000003,7,300,1
C0090,4138.16,16,468,4
C0091,3137.66,20,683,2
C0092,3015.95,10,243,1
C0093,5294.99,19,198,4
C0094,1166.97,9,499,1
C0095,1284.27,5,695,3
C0096,6072.92,16,801,0
C0097,137.54,1,406,3
C0098,3158.02,14,98,1
C0099,6715.72,21,729,0
C0100,5003.45,14,683,2
C0101,5550.99,20,485,4
C0102,6132.360000000001,21,864,0
C0103,2462.5499999999997,7,988,3
C0104,6579.1,21,1082,0
C0105,4807.45,16,77,4
C0106,2939.3,13,858,2
C0107,3623.92,12,720,2
C0108,4848.54,16,852,2
C0109,5487.25,32,994,0
C0110,942.32,4,128,1
C0111,1973.02,16,75,1
C0112,1959.51,8,935,3
C0113,4812.1,22,955,0
C0114,5780.43,18,70,4
C0115,3137.18,8,77,1
C0116,2758.6800000000003,11,138,1
C0117,4028.2700000000004,12,66,1
C0118,3434.77,10,1101,2
C0119,1191.61,6,441,1
C0120,2470.02,9,745,3
C0121,974.52,8,554,3
C0122,5072.55,17,997,2
C0123,1400.06,4,449,1
C0124,4264.33,19,154,4
C0125,2973.96,10,771,2
C0126,4565.57,13,342,4
C0127,3232.88,11,298,1
C0128,773.19,3,609,3
C0129,2339.61,9,288,1
C0130,601.36,2,649,3
C0131,1943.82,7,967,3
C0132,1851.2599999999998,8,726,3
C0133,2884.33,11,688,2
C0134,2679.28,16,1073,2
C0135,3135.58,10,888,2
C0136,4298.99,21,319,4
C0137,3332.55,11,293,1
C0138,5610.25,17,87,4
C0139,3703.64,13,1050,2
C0140,1888.1399999999999,5,576,3
C0141,10673.869999999999,27,704,0
C0142,2239.04,11,354,1
C0143,6044.63,21,245,4
C0144,1304.6799999999998,8,119,1
C0145,5771.27,20,745,0
C0146,2570.8,8,145,1
C0147,2948.44,14,987,2
C0148,5457.79,18,652,4
C0149,4404.78,15,737,2
C0150,580.34,2,867,3
C0151,223.96,4,66,1
C0152,3385.8599999999997,10,1014,2
C0153,4744.79,17,1044,2
C0154,3703.61,11,92,1
C0155,5377.83,17,676,4
C0156,7634.45,28,527,0
C0157,1876.1,10,363,1
C0158,3716.52,9,656,2
C0159,2072.41,8,905,3
C0160,2926.93,14,1028,2
C0161,3141.83,14,1050,2
C0162,4802.24,20,1035,0
C0163,5775.28,19,599,4
C0164,3087.69,10,606,2
C0165,6708.1,30,1024,0
C0166,2405.3500000000004,11,1079,2
C0167,2300.42,8,366,1
C0168,5053.83,12,776,2
C0169,4533.32,20,655,4
C0170,4931.74,15,502,4
C0171,5145.35,15,773,2
C0172,2201.7,10,140,1
C0173,5808.04,20,844,0
C0174,2891.95,12,816,2
C0175,6210.53,26,1017,0
C0176,2331.32,12,1041,2
C0177,2509.81,9,240,1
C0178,2708.83,9,435,1
C0179,3652.83,14,834,2
C0181,3347.6000000000004,15,438,4
C0182,4980.7699999999995,17,30,4
C0183,3850.2200000000003,12,370,1
C0184,3393.1800000000003,11,990,2
C0185,3424.3199999999997,9,468,1
C0186,1761.6399999999999,7,474,1
C0187,4612.44,11,178,4
C0188,7111.320000000001,21,986,0
C0189,2643.21,11,371,1
C0190,2983.02,14,241,1
C0191,2997.9700000000003,11,295,1
C0192,2072.7200000000003,8,865,3
C0193,3009.2900000000004,11,724,2
C0194,3869.17,14,268,4
C0195,4036.27,17,132,4
C0196,4982.88,12,965,2
C0197,1928.65,9,678,3
C0198,931.83,3,1065,3
C0199,1979.28,9,786,3
C0200,4758.6,16,596,4
